['12 историй о настоящей любви (сборник)'],2016 
['У входа в Летний сад'],2004
['У истоков любви'],2000
['У любви под прицелом'],2007
['У любви свои законы'],2001
['У любви твои глаза'],2003
['У меня нет соперниц'],2016
['У нас есть мы'],1997
['У ночи тысяча глаз'],2005
['У озера'],2002
['У очага любви'],2009
['У подножья Эдельвейса'],2006
"['У тебя нет выхода, дорогая']",2004
['Убегая от любви'],2007
['Убежать от любви'],2008
['Убежденный холостяк'],2003
['Убежденный холостях'],2002
['Убежим вместе!'],1997
['Убереги...(новогодняя миниатюра)'],1999
['Уберечь любовь'],2016
['Убивая вкус [СИ]'],1999
['Увлекательная игра'],2007
['Увлечение'],2015
"['Угадай, кто?..']",2019
"['Угадай, о чем я думаю']",2004
['Угадать любовь'],No data
['Уголок в сердце'],2005
['Уголок рая'],No data
['Удавшийся розыгрыш'],1999
['Удавшийся розыгрыш'],No data
['Удача новичка'],2007
"['Удачи, мисс Роббинс!']",2009
